"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000059","Dorset","E01020414","East Dorset 003D",1249922450
"E06000059","Dorset","E01020415","East Dorset 003E",1249922451
"E06000059","Dorset","E01020416","East Dorset 002A",1249922452
"E06000059","Dorset","E01020417","East Dorset 002B",1249922453
"E06000059","Dorset","E01020418","East Dorset 002C",1249922454
"E06000059","Dorset","E01020419","East Dorset 002D",1249922455
"E06000059","Dorset","E01020420","East Dorset 002E",1249922456
"E06000059","Dorset","E01020421","East Dorset 006A",1249922457
"E06000059","Dorset","E01020422","East Dorset 006B",1249922458
"E06000059","Dorset","E01020423","East Dorset 006C",1249922459
"E06000059","Dorset","E01020424","East Dorset 006D",1249922460
"E06000059","Dorset","E01020425","East Dorset 006E",1249922461
"E06000059","Dorset","E01020426","East Dorset 010A",1249922462
"E06000059","Dorset","E01020427","East Dorset 010B",1249922463
"E06000059","Dorset","E01020428","East Dorset 010C",1249922464
"E06000059","Dorset","E01020429","East Dorset 010D",1249922465
"E06000059","Dorset","E01020430","North Dorset 008A",1249922466
"E06000059","Dorset","E01020431","North Dorset 008B",1249922467
"E06000059","Dorset","E01020432","North Dorset 008C",1249922468
"E06000059","Dorset","E01020433","North Dorset 004A",1249922469
"E06000059","Dorset","E01020434","North Dorset 004B",1249922470
"E06000059","Dorset","E01020435","North Dorset 007A",1249922471
"E06000059","Dorset","E01020436","North Dorset 007B",1249922472
"E06000059","Dorset","E01020437","North Dorset 007C",1249922473
"E06000059","Dorset","E01020438","North Dorset 007D",1249922474
